date,timestamp,raw_peak,month
2024-01-01,2024-01-01 16:30:00,287.0,2024-01
2024-01-02,2024-01-02 14:30:00,1188.0,2024-01
2024-01-03,2024-01-03 13:45:00,1280.0,2024-01
2024-01-04,2024-01-04 14:00:00,1388.0,2024-01
2024-01-05,2024-01-05 14:00:00,1316.0,2024-01
2024-01-06,2024-01-06 00:00:00,317.0,2024-01
2024-01-07,2024-01-07 09:00:00,199.0,2024-01
2024-01-08,2024-01-08 11:00:00,1157.0,2024-01
2024-01-09,2024-01-09 14:45:00,1231.0,2024-01
2024-01-10,2024-01-10 15:00:00,1218.0,2024-01
2024-01-11,2024-01-11 14:00:00,1168.0,2024-01
2024-01-12,2024-01-12 11:15:00,1098.0,2024-01
2024-01-13,2024-01-13 00:00:00,138.0,2024-01
2024-01-14,2024-01-14 08:15:00,58.0,2024-01
2024-01-15,2024-01-15 14:45:00,1055.0,2024-01
2024-01-16,2024-01-16 15:00:00,1169.0,2024-01
2024-01-17,2024-01-17 14:30:00,1147.0,2024-01
2024-01-18,2024-01-18 14:00:00,1175.0,2024-01
2024-01-19,2024-01-19 10:30:00,1077.0,2024-01
2024-01-20,2024-01-20 00:00:00,152.0,2024-01
2024-01-21,2024-01-21 01:00:00,69.0,2024-01
2024-01-22,2024-01-22 14:00:00,1061.0,2024-01
2024-01-23,2024-01-23 14:45:00,1144.0,2024-01
2024-01-24,2024-01-24 14:30:00,1184.0,2024-01
2024-01-25,2024-01-25 14:00:00,1149.0,2024-01
2024-01-26,2024-01-26 11:15:00,1036.0,2024-01
2024-01-27,2024-01-27 00:00:00,135.0,2024-01
2024-01-28,2024-01-28 09:45:00,65.0,2024-01
2024-01-29,2024-01-29 14:15:00,1065.0,2024-01
2024-01-30,2024-01-30 14:15:00,1113.0,2024-01
2024-01-31,2024-01-31 14:30:00,1065.0,2024-01
2024-02-01,2024-02-01 14:15:00,1042.0,2024-02
2024-02-02,2024-02-02 19:15:00,157.0,2024-02
2024-02-03,2024-02-03 00:15:00,91.0,2024-02
2024-02-04,2024-02-04 07:00:00,72.0,2024-02
2024-02-05,2024-02-05 15:15:00,951.0,2024-02
2024-02-06,2024-02-06 14:00:00,867.0,2024-02
2024-02-07,2024-02-07 10:30:00,358.0,2024-02
2024-02-08,2024-02-08 09:30:00,83.0,2024-02
2024-02-09,2024-02-09 12:30:00,64.0,2024-02
2024-02-10,2024-02-10 00:00:00,33.0,2024-02
2024-02-11,2024-02-11 01:30:00,18.0,2024-02
2024-02-12,2024-02-12 16:00:00,117.0,2024-02
2024-02-13,2024-02-13 16:00:00,162.0,2024-02
2024-02-14,2024-02-14 16:15:00,234.0,2024-02
2024-02-15,2024-02-15 14:30:00,460.0,2024-02
2024-02-16,2024-02-16 14:30:00,903.0,2024-02
2024-02-17,2024-02-17 00:00:00,137.0,2024-02
2024-02-18,2024-02-18 02:15:00,57.0,2024-02
2024-02-19,2024-02-19 14:15:00,1261.0,2024-02
2024-02-20,2024-02-20 13:30:00,1306.0,2024-02
2024-02-21,2024-02-21 15:00:00,1351.0,2024-02
2024-02-22,2024-02-22 13:45:00,1355.0,2024-02
2024-02-23,2024-02-23 14:00:00,1188.0,2024-02
2024-02-24,2024-02-24 00:00:00,142.0,2024-02
2024-02-25,2024-02-25 00:15:00,105.0,2024-02
2024-02-26,2024-02-26 13:45:00,1272.0,2024-02
2024-02-27,2024-02-27 14:15:00,1380.0,2024-02
2024-02-28,2024-02-28 17:00:00,494.0,2024-02
2024-02-29,2024-02-29 14:15:00,1401.0,2024-02
2024-03-01,2024-03-01 11:15:00,1221.0,2024-03
2024-03-02,2024-03-02 00:00:00,164.0,2024-03
2024-03-03,2024-03-03 07:45:00,59.0,2024-03
2024-03-04,2024-03-04 14:45:00,1254.0,2024-03
2024-03-05,2024-03-05 13:30:00,1292.0,2024-03
2024-03-06,2024-03-06 13:45:00,1402.0,2024-03
2024-03-07,2024-03-07 14:00:00,1437.0,2024-03
2024-03-08,2024-03-08 14:15:00,1349.0,2024-03
2024-03-09,2024-03-09 00:00:00,241.0,2024-03
2024-03-10,2024-03-10 08:30:00,124.0,2024-03
2024-03-11,2024-03-11 14:00:00,1231.0,2024-03
2024-03-12,2024-03-12 14:00:00,1527.0,2024-03
2024-03-13,2024-03-13 14:15:00,1573.0,2024-03
2024-03-14,2024-03-14 14:00:00,1564.0,2024-03
2024-03-15,2024-03-15 14:00:00,1333.0,2024-03
2024-03-16,2024-03-16 00:00:00,185.0,2024-03
2024-03-17,2024-03-17 01:15:00,83.0,2024-03
2024-03-18,2024-03-18 14:15:00,1224.0,2024-03
2024-03-19,2024-03-19 14:00:00,1348.0,2024-03
2024-03-20,2024-03-20 14:30:00,1363.0,2024-03
2024-03-21,2024-03-21 14:30:00,1328.0,2024-03
2024-03-22,2024-03-22 11:45:00,1204.0,2024-03
2024-03-23,2024-03-23 00:00:00,181.0,2024-03
2024-03-24,2024-03-24 03:00:00,69.0,2024-03
2024-03-25,2024-03-25 14:30:00,1199.0,2024-03
2024-03-26,2024-03-26 00:00:00,187.0,2024-03
2024-03-27,2024-03-27 00:45:00,79.0,2024-03
2024-03-28,2024-03-28 08:45:00,43.0,2024-03
2024-03-29,2024-03-29 05:00:00,31.0,2024-03
2024-03-30,2024-03-30 11:15:00,6.0,2024-03
2024-03-31,2024-03-31 16:30:00,1.0,2024-03
